subject,session,stim,answer,conf,correct,contrast,rt,points
13,2,2,2,0.709,1,3,1.265628049,5
13,2,2,2,1,1,3,1.416040188,6
13,2,2,2,0.987,1,1,1.315168711,7
13,2,2,2,1,1,3,0.999786341,8
13,2,2,1,1,0,1,0.979694664,7
13,2,1,1,1,1,1,1.117571146,8
13,2,1,1,1,1,1,1.036250506,9
13,2,2,1,0.984,0,2,1.059827437,8
13,2,1,1,0.766,1,2,1.235915167,9
13,2,2,2,1,1,1,2.037691212,10
13,2,2,1,1,0,2,1.286378598,9
13,2,2,1,0.811,0,2,1.627286616,8
13,2,2,1,0.708,0,2,3.916368643,7
13,2,2,1,0.984,0,2,2.624148034,6
13,2,2,2,0.686,1,3,1.95082996,7
13,2,1,1,0.988,1,1,2.035449233,8
13,2,2,2,1,1,3,1.499024325,9
13,2,1,1,1,1,3,1.351775777,10
13,2,2,1,0.73,0,1,1.492988899,11
13,2,2,1,0.777,0,2,1.506299694,12
13,2,2,2,0.869,1,1,1.240517471,13
13,2,2,2,0.795,1,1,1.890063694,14
13,2,1,1,0.984,1,1,1.622060398,15
13,2,2,2,0.832,1,2,4.064287488,16
13,2,1,1,1,1,1,1.155874186,17
13,2,1,1,1,1,3,1.416345104,18
13,2,2,2,1,1,3,1.185282594,19
13,2,2,2,0.742,1,1,1.730924952,20
13,2,1,1,0.87,1,3,0.881598713,21
13,2,1,1,1,1,3,0.704091754,22
13,2,1,1,1,1,1,0.542121547,23
13,2,1,1,1,1,3,0.491099066,24
13,3,2,2,0.516,1,1,2.265906231,1
13,3,1,1,1,1,3,0.647761318,2
13,3,2,1,1,0,1,0.840547276,1
13,3,1,1,0.641,1,2,1.665064733,2
13,3,2,2,0.705,1,1,0.872551164,3
13,3,1,1,0.805,1,3,0.68875715,4
13,3,2,2,1,1,3,0.607726789,5
13,3,1,1,1,1,2,0.552565351,6
13,3,2,2,1,1,3,0.542423817,7
13,3,2,1,1,0,1,0.531437259,6
13,3,2,2,0.949,1,2,0.824764316,7
13,3,1,1,0.975,1,3,0.627612495,8
13,3,1,1,1,1,2,1.612448156,9
13,3,2,2,0.761,1,2,1.245424363,10
13,3,1,1,1,1,2,0.654584063,11
13,3,2,2,0.785,1,1,1.382164028,12
13,3,1,1,1,1,3,0.593992907,13
13,3,1,2,0.756,0,1,1.227433406,12
13,3,1,1,0.853,1,1,0.806078848,13
13,3,1,1,0.762,1,2,0.800073197,14
13,3,2,2,0.881,1,1,0.530123031,15
13,3,2,2,0.579,1,3,1.151263717,16
13,3,1,1,0.637,1,2,1.253859583,17
13,3,1,1,0.729,1,1,0.98682269,18
13,3,1,2,0.675,0,1,1.390604032,19
13,3,1,1,0.777,1,2,1.144839388,20
13,3,2,2,0.978,1,3,1.062054841,21
13,3,1,1,1,1,3,0.700457481,22
13,3,1,1,0.79,1,1,1.100148502,23
13,3,2,2,0.655,1,2,3.393876562,24
13,3,1,1,0.754,1,2,0.986011974,23
13,3,1,1,1,1,2,0.540836328,24
13,3,1,1,1,1,3,1.515118314,25
13,3,2,2,0.739,1,1,1.295679777,26
13,3,1,1,1,1,3,0.551549323,27
13,3,1,1,0.789,1,2,2.138048044,28
13,3,2,2,0.715,1,2,1.637017037,29
13,3,2,2,0.799,1,3,1.629555792,30
13,3,1,1,0.644,1,3,1.621926859,31
13,3,1,1,1,1,3,0.6307115,32
15,1,1,1,1,1,2,2.596739628,1
15,1,1,1,1,1,2,1.904502335,2
15,1,2,2,1,1,2,1.902436345,3
15,1,1,1,1,1,1,1.284448955,4
15,1,2,2,0.997,1,2,1.371133095,5
15,1,2,2,1,1,1,1.756623111,6
15,1,2,2,1,1,1,1.128854975,7
15,1,1,1,1,1,2,1.493379108,8
15,1,2,2,0.986,1,1,1.628006359,9
15,1,1,1,1,1,3,1.779988634,10
15,1,2,2,1,1,3,1.207105044,11
15,1,2,2,0.998,1,3,2.001617617,12
15,1,2,2,1,1,1,1.386988028,13
15,1,2,2,1,1,2,1.756853498,14
15,1,1,1,1,1,3,2.214458778,15
15,2,1,2,0.812,0,1,1.488250886,-1
15,2,1,2,0.724,0,1,1.232104124,-2
15,2,1,2,0.755,0,1,1.217832798,-3
15,2,1,1,0.711,1,1,1.290283446,-2
15,2,2,2,0.724,1,2,1.272884562,-1
15,2,2,2,0.827,1,2,1.215881504,0
15,2,2,1,0.882,0,1,1.034561127,-1
15,2,2,2,0.802,1,2,1.098166152,0
15,2,1,2,0.717,0,1,2.241962698,-1
15,2,2,2,0.752,1,1,1.02420963,0
15,2,2,2,0.793,1,3,1.539459466,1
15,2,1,2,0.753,0,1,1.582036367,0
15,2,1,1,0.788,1,2,1.242081148,1
15,2,1,1,0.71,1,2,1.696219354,2
15,2,1,2,0.724,0,3,1.318495536,1
15,2,1,2,0.746,0,1,1.197186693,2
15,2,2,2,0.772,1,3,0.960800004,3
15,2,2,2,0.749,1,1,1.483428168,4
15,2,2,2,0.748,1,3,1.07425078,5
15,2,2,2,0.914,1,3,1.688249079,6
15,2,1,1,0.872,1,2,1.399220415,7
15,2,1,1,0.717,1,1,1.257605891,8
15,2,1,1,0.802,1,3,1.304444502,9
15,2,2,2,0.662,1,2,1.7501291,10
15,2,1,1,0.831,1,3,1.241592796,11
15,2,1,1,0.857,1,1,1.32266596,12
15,2,2,2,0.654,1,1,1.320029945,13
15,2,2,2,0.611,1,1,1.947725631,14
15,2,1,1,0.677,1,1,1.336392901,15
15,2,1,1,0.769,1,1,1.517421514,16
15,2,1,1,0.687,1,1,1.315068377,17
15,2,1,1,0.872,1,2,1.079740635,18
15,2,1,1,0.585,1,1,1.158991924,19
15,2,1,1,0.64,1,3,1.459361744,20
15,2,1,1,0.745,1,1,1.681809346,21
15,2,1,2,0.742,0,2,1.448262285,20
15,2,2,2,0.621,1,1,1.809694423,21
15,2,1,2,0.74,0,3,1.753534115,22
15,2,1,2,0.675,0,3,1.638723848,23
15,2,1,1,0.72,1,3,1.301213722,24
15,3,2,2,0.728,1,3,2.051727699,1
15,3,1,1,1,1,1,1.18253529,2
15,3,1,1,1,1,3,0.961190826,3
15,3,2,2,1,1,1,0.772912449,4
15,3,2,2,1,1,3,0.712326005,5
15,3,2,2,1,1,1,0.813502874,6
